age,gender,ethnicity,gameplayFreq,gambling,esports,token,simulated,real_money,lootbox,problem_gambling,gaming_disorder,mainGame
21,1,1,0,1,0,0,0,0,1,0,0,Peak
26,1,0,0,1,0,0,0,0,0,0,0,PC
48,1,0,1,2,0,0,0,0,1,0,0,patients
59,1,0,0,4,0,0,0,0,1,0,0,patience game
60,1,0,0,4,0,0,0,0,1,0,0,None
50,1,0,0,6,0,0,0,0,1,0,0,NA
48,1,0,0,5,0,0,0,0,1,0,0,NA
51,1,1,0,2,0,0,0,0,1,1,0,NA
48,1,0,0,3,0,0,0,0,1,0,0,Na
60,1,0,0,7,0,0,1,0,1,1,0,na
49,1,0,0,2,0,0,0,0,1,0,0,na
53,1,0,0,1,0,0,0,0,1,0,0,N/A - I don't play any games
39,1,1,0,0,0,0,0,0,1,0,0,N/A
48,1,1,0,1,0,0,0,0,1,0,0,N/A
75,1,0,0,5,0,0,0,0,1,0,0,N/A
32,1,1,0,2,0,0,0,0,1,0,0,N/A
64,1,0,0,5,0,0,0,0,1,0,0,N/A
39,1,1,0,5,0,0,0,0,1,0,0,N/A
63,1,0,0,8,0,0,0,0,1,0,0,N/A
49,1,0,0,2,0,0,0,0,1,0,0,N/A
69,1,0,0,1,0,0,0,0,1,0,0,N/A
49,1,0,0,8,0,0,0,0,1,1,0,N/A
52,1,0,0,3,0,0,0,0,1,0,0,N/A
56,1,0,0,2,0,0,0,0,1,0,0,N/A
56,1,0,0,7,0,0,0,0,1,1,0,N/A
51,1,0,0,4,0,0,0,0,1,0,0,N/A
59,1,0,0,4,0,0,0,0,1,0,0,N/A
43,1,0,0,8,0,1,1,0,1,0,0,N/A
40,1,0,0,0,0,0,0,0,1,0,0,N/A
47,1,0,0,1,0,0,0,0,1,0,0,N/A
50,1,0,0,10,0,0,0,0,1,1,0,N/A
59,1,0,1,6,0,0,0,0,1,1,0,N/A
72,1,0,0,6,0,0,0,0,1,0,0,N/A
38,1,0,0,5,0,0,0,0,1,0,0,N/A
52,1,0,0,5,0,0,0,0,1,0,0,N/A
43,1,0,0,8,0,0,0,0,1,1,0,N/A
21,1,0,0,0,0,0,0,0,1,0,0,N/A
52,1,0,0,3,0,0,0,0,1,0,0,N/A
44,1,0,0,11,0,0,0,0,1,1,0,N/A
31,1,0,0,8,0,0,0,0,1,0,0,N/A
44,1,0,0,3,0,0,0,0,1,0,0,N/A
54,1,0,1,6,0,0,0,0,1,0,0,N/A
65,1,0,0,2,0,0,0,0,1,0,0,N/A
65,1,0,0,4,0,0,0,0,1,0,0,N/A
35,1,0,0,5,0,0,0,0,1,0,0,N/A
58,1,0,0,4,0,0,0,0,1,0,0,N/A
39,1,0,0,5,0,0,0,0,1,0,0,N/A
36,1,0,0,2,0,0,0,0,0,0,0,N/A
55,1,0,0,1,0,0,0,0,1,0,0,N/A
53,1,0,0,4,0,0,0,0,1,0,0,N/A
32,1,0,0,5,0,0,0,0,1,0,0,N/A
58,1,0,0,5,0,0,0,0,1,0,0,N/A
43,1,0,0,4,0,0,0,0,1,0,0,N/A
63,1,0,0,9,0,0,1,0,1,0,0,N/A
46,1,0,0,5,0,0,0,0,1,0,0,N/A
36,1,1,0,2,0,0,0,0,1,0,0,N/A
62,1,0,0,3,0,0,0,0,1,0,0,N/A
58,1,0,0,7,0,0,0,0,1,0,0,N/A
59,1,0,0,5,0,0,0,0,1,1,0,N/A
68,1,0,0,4,0,0,0,0,1,0,0,N/A
70,1,0,0,6,0,0,0,0,1,1,0,N/A
65,1,0,0,5,0,0,0,0,1,0,0,N/A
67,1,0,0,4,0,0,0,0,1,0,0,N/A
69,1,0,1,9,0,0,0,0,1,1,0,N/A
71,1,0,0,6,0,0,1,0,1,0,0,N/A
52,1,1,0,6,0,0,0,0,1,0,0,N/A
42,1,1,0,0,0,0,0,0,1,0,0,N/A
29,1,1,0,4,0,0,0,0,1,1,0,N/A
18,1,1,0,1,0,0,1,0,1,0,0,N/A
47,1,0,0,1,0,0,0,0,1,0,0,N/A
23,1,1,0,4,1,0,0,0,1,0,0,N/A
66,1,0,0,2,0,0,0,0,1,0,0,N/A
27,1,0,0,0,0,0,0,0,1,0,0,N/A
18,1,1,0,0,0,0,0,0,1,0,0,N/A
54,1,0,0,6,0,0,0,0,1,0,0,N/A
25,1,1,0,0,0,0,0,0,1,0,0,N/A
29,1,1,0,5,0,0,0,0,1,0,0,N/A
54,1,0,0,1,0,0,0,0,1,0,0,N/A
64,1,0,0,7,0,0,0,0,1,0,0,N/A
47,1,0,0,6,0,0,0,0,1,0,0,N/A
64,1,0,0,1,0,0,0,0,1,0,0,N/A
51,1,0,0,1,0,0,0,0,1,0,0,N/A
41,1,0,0,9,0,0,0,0,1,0,0,N/A
52,1,0,0,1,0,0,0,0,1,0,0,N/A
60,1,0,0,2,0,0,0,0,1,1,0,N/A
39,1,0,0,8,0,0,0,0,1,1,0,N/A
26,1,1,0,0,0,0,0,0,1,0,0,N/A
70,1,0,0,2,0,0,0,0,1,0,0,N/A
27,1,0,0,3,0,0,0,0,1,0,0,N/A
22,1,0,0,8,0,0,0,0,1,1,0,N/A
63,1,0,0,6,0,0,0,0,1,0,0,N/A
20,1,0,0,6,0,0,1,0,1,1,0,N/A
53,1,0,0,6,0,0,0,0,1,0,0,N/A
58,1,0,0,2,0,0,0,0,1,0,0,N/A
63,1,0,0,4,0,0,0,0,1,0,0,N/A
51,1,0,0,3,0,0,0,0,1,0,0,N/A
57,1,0,0,6,0,0,0,0,1,0,0,N/A
44,1,0,0,9,1,0,0,0,1,0,0,N/A
44,1,0,1,10,0,1,1,1,0,0,0,N/A
65,1,0,0,5,0,0,0,0,1,0,0,N/A
60,1,0,0,4,0,0,0,0,1,0,0,N/A
49,1,0,0,9,0,0,0,0,1,0,0,N/A
58,1,0,0,6,0,0,0,0,1,0,0,N/A
63,1,0,0,8,0,0,0,0,1,0,0,N/A
61,1,0,0,5,0,0,0,0,1,1,0,N/A
58,1,0,0,10,0,0,0,0,1,1,0,N/A
37,1,0,0,4,0,0,0,0,1,0,0,N/A
44,1,0,0,1,0,0,0,0,1,0,0,N/A
54,1,0,0,2,0,0,0,0,1,0,0,N/A
41,1,0,0,9,0,0,0,0,1,0,0,N/A
45,1,0,0,2,0,0,0,0,1,0,0,N/A
59,1,0,0,6,0,0,0,0,1,0,0,N/A
20,1,1,0,1,0,0,0,0,1,1,0,N/A
64,1,0,0,1,0,0,0,0,1,0,0,N/A
50,1,0,0,10,0,0,0,0,1,0,0,N/A
33,1,0,0,7,0,0,0,0,1,0,0,N/A
49,1,0,0,5,0,0,0,0,1,0,0,N/A
48,1,0,0,3,0,0,0,0,1,0,0,N/A
29,1,0,0,4,0,0,0,0,1,0,0,N/A
39,1,0,0,2,0,0,0,0,1,0,0,N/A
53,1,0,0,7,0,0,0,0,1,0,0,N/A
19,1,0,0,2,0,0,0,0,1,0,0,N/A
